"atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
42411,10,275,6,7,2.58,13.45,-0.5,3.84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42234,10,264,1,7,16.0,13.59,2.26,5.9,10,1,5,0,0,0,0,0,0,0,0,0,0,1,0,7,10,1,5
63110,10,315,2,6,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42499,10,276,2,6,0.0,5.63,0.0,1.07,4,5,16,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,0
42501,10,262,3,2,9.2,8.68,2.13,5.2,2,0,2,0,0,0,1,0,0,0,4,3,0,0,0,1,0,0,0
42500,10,264,2,7,11.3,13.46,0.27,6.01,7,10,32,1,0,0,0,0,0,0,11,6,0,2,0,6,0,0,0
49674,10,283,2,6,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50284,10,294,1,7,10.1,14.9,0.48,6.78,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,8
49673,10,266,1,7,1.0,4.87,-1.83,1.42,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,9
50301,10,262,4,7,0.0,14.5,0.0,4.3,8,14,30,2,0,5,3,1,1,0,14,12,0,3,0,0,0,0,0
50294,10,293,4,5,0.0,10.33,0.0,2.37,3,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50324,10,283,4,6,3.5,6.45,-0.49,2.62,7,6,13,0,0,1,2,0,0,0,14,10,0,1,0,0,0,0,0
50328,10,284,2,7,0.0,9.97,0.0,5.1,1,4,2,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0
50317,10,277,3,7,0.0,11.83,0.0,4.84,8,4,26,0,0,1,2,1,0,0,8,7,0,3,0,6,0,0,0
50348,10,262,4,6,0.0,8.35,0.0,-0.95,2,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
50307,10,282,4,5,0.0,5.18,0.0,0.5,3,1,6,0,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0
50362,10,266,2,7,-3.5,1.4,-0.71,-0.15,8,6,18,0,0,0,4,0,2,0,7,21,0,1,0,0,0,0,0
50398,10,292,5,6,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50407,10,266,4,6,-0.8,2.98,-0.22,-0.4,4,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
50402,10,277,5,7,0.0,4.65,0.19,2.53,8,4,26,0,0,3,4,3,4,0,1,7,0,0,0,0,0,0,0
50408,10,267,3,7,4.1,3.79,1.02,1.26,9,5,20,0,0,1,2,0,0,0,5,8,0,1,0,2,0,0,0
51175,10,276,1,5,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50427,10,303,3,6,0.0,11.85,0.0,5.57,4,3,5,0,0,0,1,0,0,0,13,7,0,1,0,1,0,0,0
